MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,SAP_FLUX,SAP_BKG,PDCSAP_FLUX,RESULT
2.1907091330637288E8,2.190008971630283E8,2.1886004892413497E8,2.1886012260970324E8,2.4107152123000053E8,2.2241808856000113E8,2.4676594667000055E8,1
2.1906010958011276E8,2.1900592568025962E8,2.188750395195601E8,2.1887132365657714E8,2.4152835219000077E8,2.227888240600001E8,2.4601213585999915E8,1
2.190862337944964E8,2.190023587972726E8,2.1886023715781868E8,2.1886034339352694E8,2.4556240219999936E8,2.2125333879800057E8,2.5297682659999913E8,1
2.1908647683923295E8,2.1899775740130496E8,2.188602111332362E8,2.1886030513017905E8,2.3642609988E8,2.2083940770699984E8,2.445001393899982E8,1
2.1907666759743497E8,2.1900472827268192E8,2.188600510620993E8,2.1886012899350435E8,2.4130573195E8,2.2246548782000026E8,2.471183359199994E8,1
2.189857423682835E8,2.189517763968621E8,2.1887043964450294E8,2.188678039523476E8,2.3122463677999964E8,2.2037043639300072E8,2.3638280889999968E8,1
2.1909855873834592E8,2.1901019414310926E8,2.1886068948826122E8,2.1886062023887354E8,2.4697269069999963E8,2.2150541955599988E8,2.5466536700000033E8,1
2.22237893060932E8,2.2091785437252176E8,2.1886075142901352E8,2.1886207739334372E8,4.9550365607000643E8,2.4851362185399753E8,6.169887419899937E8,1
2.2238832773388118E8,2.2100677732838604E8,2.1886109036982417E8,2.188619301910874E8,4.966161808000005E8,2.4959132912200224E8,6.107892079799993E8,1
2.1910016835154924E8,2.1900608810843435E8,2.1886054917635706E8,2.188605536398852E8,2.372460369000006E8,2.209636456939994E8,2.4583874923999935E8,1
2.222406913144117E8,2.2091481345295596E8,2.1886087214920795E8,2.1886167004400685E8,4.651245621399969E8,2.489126108550003E8,5.736891278299987E8,1
2.2225489191624215E8,2.2112630222045934E8,2.1886034848368025E8,2.1886055337303585E8,5.471811756700016E8,2.6881696627000034E8,6.349468238999932E8,1
2.2215835971653312E8,2.2106252145608786E8,2.188601276812302E8,2.1886056034752664E8,5.535279957300013E8,2.7131789396999955E8,6.392432786300027E8,1
2.1909884980663148E8,2.1901954641164455E8,2.188693631924369E8,2.1886644841513515E8,2.4324752691000092E8,2.2288155069000006E8,2.4942688500999996E8,1
2.2234794867746222E8,2.2119075719264686E8,2.1886028607502443E8,2.188615027951542E8,5.827448461399981E8,2.8436746147999954E8,6.78926966850004E8,1
2.2163100728151178E8,2.208813168209307E8,2.188608009665211E8,2.188613724802291E8,4.5704890017000306E8,2.5066406944800013E8,5.222427233499973E8,1
2.217313820794683E8,2.2095666601619837E8,2.1886079488806614E8,2.1886154823446873E8,4.894486941499982E8,2.5372339405700138E8,6.146524982000006E8,1
2.1904481080163002E8,2.1899503617686182E8,2.188615967619494E8,2.1886140134742197E8,2.367114158500003E8,2.210794338040005E8,2.4052313403000012E8,1
2.217043697187714E8,2.209389956294431E8,2.18860810175511E8,2.1886090687284607E8,5.006568256499983E8,2.5140553244799814E8,5.586838380999998E8,1
2.222262358494762E8,2.2098048894705656E8,2.1886067809964558E8,2.1886055314751118E8,6.171747122100002E8,2.6228038019899967E8,7.195167590999948E8,1
2.2190113564754087E8,2.2077498847741503E8,2.1886020449484104E8,2.1886074367414895E8,5.755501711499964E8,2.5354979562899965E8,6.658787142000061E8,1
2.190720301446669E8,2.1899349012754077E8,2.188602903245462E8,2.1886032762745643E8,2.4351846767999986E8,2.2120967962899965E8,2.497763876000004E8,1
2.216855390905125E8,2.2063710653116703E8,2.1886046551161477E8,2.188611145609311E8,5.409150028800038E8,2.4875694437199956E8,6.198071797999996E8,1
2.2162655513575596E8,2.2054577451243305E8,2.188607821888703E8,2.1886215770648882E8,4.4283862129000586E8,2.4322839931899908E8,5.2836614132000184E8,1
2.2223954861876157E8,2.2091656779447424E8,2.1886100440925914E8,2.1886178621433827E8,4.8105341975000083E8,2.4815805207399932E8,5.97533304659995E8,1
